GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tp2,edu.fiuba.algo3.modelo,Segmento,5,46,3,3,1,8,3,4,0,4
tp2,edu.fiuba.algo3.modelo,BloqueAbajo,0,17,0,0,0,5,0,3,0,3
tp2,edu.fiuba.algo3.modelo,BloqueArriba,0,17,0,0,0,5,0,3,0,3
tp2,edu.fiuba.algo3.modelo,SegmentoInvalidoError,3,0,0,0,1,0,1,0,1,0
tp2,edu.fiuba.algo3.modelo,SectorDibujo,0,42,1,3,0,14,1,8,0,7
tp2,edu.fiuba.algo3.modelo,LapizAbajo,4,13,0,0,1,6,1,3,1,3
tp2,edu.fiuba.algo3.modelo,Algoritmo,4,38,1,3,1,11,1,4,0,3
tp2,edu.fiuba.algo3.modelo,BloqueDerecha,0,21,0,0,0,6,0,3,0,3
tp2,edu.fiuba.algo3.modelo,BloqueInverso,2,32,0,2,1,8,1,4,1,3
tp2,edu.fiuba.algo3.modelo,BloqueIterativo,2,32,0,2,1,9,1,5,1,4
tp2,edu.fiuba.algo3.modelo,NombreInvalidoError,3,0,0,0,1,0,1,0,1,0
tp2,edu.fiuba.algo3.modelo,NumeroDeRepeticionesInvalidoError,3,0,0,0,1,0,1,0,1,0
tp2,edu.fiuba.algo3.modelo,BloqueRepetir,6,21,1,3,2,9,2,3,1,2
tp2,edu.fiuba.algo3.modelo,BloqueIzquierda,4,13,0,0,1,4,1,2,1,2
tp2,edu.fiuba.algo3.modelo,AlgoBlocks,12,142,2,2,4,40,3,13,1,13
tp2,edu.fiuba.algo3.modelo,BloquePersonalizado,5,40,0,4,2,10,2,4,2,2
tp2,edu.fiuba.algo3.modelo,Posicion,0,53,0,4,0,13,0,8,0,6
tp2,edu.fiuba.algo3.modelo,Personaje,0,58,0,0,0,16,0,7,0,7
tp2,edu.fiuba.algo3.modelo,LapizArriba,4,7,0,0,1,4,1,3,1,3
tp2,edu.fiuba.algo3.modelo,CantidadInsuficienteDeBloquesError,3,0,0,0,1,0,1,0,1,0
tp2,edu.fiuba.algo3,BotonerMovimientos,3,0,0,0,2,0,1,0,1,0
tp2,edu.fiuba.algo3,BotonArriba,12,0,0,0,4,0,1,0,1,0
tp2,edu.fiuba.algo3,DibujadorConTrazo,47,0,4,0,10,0,4,0,2,0
tp2,edu.fiuba.algo3,Reiniciar,18,0,0,0,7,0,2,0,2,0
tp2,edu.fiuba.algo3,Juego,102,0,0,0,19,0,2,0,2,0
tp2,edu.fiuba.algo3,Tablero,26,0,0,0,10,0,3,0,3,0
tp2,edu.fiuba.algo3,MoverArriba,10,0,0,0,5,0,2,0,2,0
tp2,edu.fiuba.algo3,BotonIzquierda,12,0,0,0,4,0,1,0,1,0
tp2,edu.fiuba.algo3,TerminarRepeticion,15,0,0,0,6,0,2,0,2,0
tp2,edu.fiuba.algo3,BotonDerecha,12,0,0,0,4,0,1,0,1,0
tp2,edu.fiuba.algo3,BotonBajarLapiz,12,0,0,0,4,0,1,0,1,0
tp2,edu.fiuba.algo3,BajarLapiz,10,0,0,0,5,0,2,0,2,0
tp2,edu.fiuba.algo3,MoverAbajo,10,0,0,0,5,0,2,0,2,0
tp2,edu.fiuba.algo3,Ejecutar,51,0,2,0,13,0,3,0,2,0
tp2,edu.fiuba.algo3,BotonRepetirTresVeces,12,0,0,0,4,0,1,0,1,0
tp2,edu.fiuba.algo3,RepetirDosVeces,15,0,0,0,6,0,2,0,2,0
tp2,edu.fiuba.algo3,MoverDerecha,10,0,0,0,5,0,2,0,2,0
tp2,edu.fiuba.algo3,Titulo,50,0,0,0,10,0,2,0,2,0
tp2,edu.fiuba.algo3,RepetirTresVeces,15,0,0,0,6,0,2,0,2,0
tp2,edu.fiuba.algo3,DibujadorSinTrazo,12,0,0,0,4,0,2,0,2,0
tp2,edu.fiuba.algo3,CreadorSectorTablero,9,0,0,0,4,0,1,0,1,0
tp2,edu.fiuba.algo3,MoverIzquieda,10,0,0,0,5,0,2,0,2,0
tp2,edu.fiuba.algo3,BotonInvertir,12,0,0,0,4,0,1,0,1,0
tp2,edu.fiuba.algo3,Guardar,11,0,0,0,5,0,2,0,2,0
tp2,edu.fiuba.algo3,BotonReiniciar,19,0,0,0,5,0,1,0,1,0
tp2,edu.fiuba.algo3,Main,36,0,0,0,12,0,3,0,3,0
tp2,edu.fiuba.algo3,BotonSubirLapiz,6,0,0,0,3,0,1,0,1,0
tp2,edu.fiuba.algo3,BotoneraMovimientos,96,0,0,0,13,0,1,0,1,0
tp2,edu.fiuba.algo3,BotonAbajo,12,0,0,0,4,0,1,0,1,0
tp2,edu.fiuba.algo3,BotonEjecutar,22,0,0,0,6,0,1,0,1,0
tp2,edu.fiuba.algo3,BotonRepetirDosVeces,12,0,0,0,4,0,1,0,1,0
tp2,edu.fiuba.algo3,Dibujador,25,0,0,0,9,0,2,0,2,0
tp2,edu.fiuba.algo3,Invertir,15,0,0,0,6,0,2,0,2,0
